UniqueCount	AmbigCount
3	165
312	2860
3	548
2647	1241
3	83
0	0
3975	1388
27	5
0	5532
173	4757
0	158
0	1339
16	878
0	66
9	108
1736	727
0	0
0	1177
1	408
0	0
0	0
0	1
18	551
6	468
649	713
38	2231
7	761
0	0
1	4
0	0
0	5
0	268
0	2
0	1
55	1341
0	78
2	831
0	0
0	0
19	1136
104	73
0	24
0	7
0	2
0	62
528	317
2	959
0	360
1	1969
0	0
8	1221
1	1134
0	1893
3	253
194	920
0	1351
2	62
0	4
0	0
0	10
642	1268
0	199
15	3994
4	15175
0	0
0	0
0	59
0	9
0	0
0	38
9	13207
1	49
0	644
216	1114
1	4818
4	287
0	49
0	0
0	0
0	0
189	3268
5	3068
353	501
88	1591
0	0
0	0
33	515
39	1038
0	0
620	1027
0	0
7	5312
0	1294
0	2
73	34
42	711
10	2776
0	0
0	0
1445	2649
4	4611
8	224
0	592
929	726
1507	11
1101	0
0	0
5	598
24	0
0	0
0	4
0	0
0	0
0	802
0	611
77	154
2	3108
0	364
3	277
149	2043
0	1288
0	354
0	0
0	0
14	385
4	3122
0	530
3	78
179	1080
64	1199
0	0
2	2519
43	9
0	34
44	939
24	649
1	4
8930	3850
0	139
0	1378
0	100
0	119
0	1
0	0
0	206
25	2437
0	0
0	631
0	273
16	453
0	2
41	133
0	1
0	920
0	0
0	294
6	574
625	505
0	4
123	377
460	397
27	221
0	298
6	203
0	0
0	2070
5	187
2775	953
0	0
0	0
0	3
0	0
0	56
0	105
0	213
670	1053
2	5
0	0
12	532
2	2
0	0
1	65
0	100
0	1130
0	0
4	3442
92	696
0	0
1	4
31	380
0	0
0	70
9	0
2	254
28	240
1322	442
0	0
0	6
0	4
0	0
1	451
0	24
1	0
11	381
3	501
0	501
0	0
0	380
0	9
0	1274
2	14
328	4856
1	0
28	342
52	3201
1682	7098
0	1
0	0
0	4511
0	2880
26	54
0	0
156	14
9	73
0	6
27	1340
0	2585
122	1102
0	40
644	170
31	898
0	0
0	1030
0	0
0	0
0	1
1588	3234
0	1
240	112
0	0
394	904
106	218
5	478
0	1097
53	1305
1	0
0	0
0	9164
643	1215
1	0
47	3980
10	314
2	58
0	0
0	1
0	662
0	0
0	0
259	173
0	400
1	3
0	606
2	1004
0	982
0	1502
0	0
0	438
4	237
44	2362
870	318
90	342
723	529
0	0
255	1315
0	616
0	190
217	100
1861	291
65	308
75	1035
0	0
190	893
263	1586
0	0
0	68
0	2
37	579
0	338
73	144
0	0
0	0
0	0
1	975
12	693
31	4099
147	472
0	953
8	2047
326	15
0	441
0	0
0	1
51	363
0	10
11	1560
141	226
464	759
0	3056
0	1
38	4578
159	431
441	597
2	125
1	49
0	1
415	0
0	0
429	2856
0	0
0	0
34	359
0	0
0	0
0	0
46	1266
0	127
8	201
5	0
339	145
1	539
3893	4959
0	49
726	28
0	440
8	1311
1	829
0	0
0	112
0	306
0	3852
0	0
133	5218
1739	457
0	319
6	1044
10	412
0	7
0	407
0	0
1182	1176
235	0
0	0
3235	1497
398	590
27	160
3	600
708	0
68	123
330	1452
142	1781
827	2737
248	8
0	13
1	0
0	0
579	469
11	442
0	4137
15	26
85	3
0	0
4	1502
80	926
187	504
60	5312
34	486
0	157
0	0
7	2
0	0
0	0
62	0
107	2350
0	143
0	513
0	147
0	28
7	708
33	3774
408	581
0	9
0	1
0	27
0	0
95	1149
9	188
1183	1143
4	96
1	1
1	858
0	3
241	819
0	0
9	0
0	15
9	191
0	0
166	676
30	440
4586	5030
2	84
0	1803
0	1178
162	864
7	3069
0	2
4	0
0	9
14	1544
0	0
2	52
0	1
0	0
15	31
0	1
17	42
0	28
175	571
378	1645
0	0
0	0
188	19
97	553
0	1172
411	121
0	2302
0	5
0	0
5	55
0	1711
0	4132
276	1296
3	317
1	15
2	12
7	903
631	1157
0	0
85	620
14	2089
0	0
60	497
0	7
2911	1015
1462	1123
1801	1339
0	55
699	2069
2	159
0	141
0	0
2	132
0	0
1423	0
0	82
0	0
1540	1240
0	7
0	0
0	1094
0	1966
6	343
0	122
10	3
0	1932
0	7679
0	476
0	1189
0	0
7	16
34	1579
0	0
0	0
0	0
0	0
219	37
0	3
81	295
398	5191
18	2882
1	253
0	0
0	103
0	33
4	268
1	2601
6	544
0	10240
0	0
1	1874
1475	538
0	0
130	33873
4	670
55	1030
1434	2017
5	2076
1	0
0	0
1	13
0	1
212	585
0	0
0	1
265	698
0	2
0	0
0	11
135	218
67	1378
0	1
0	0
0	0
0	6
0	0
0	7490
1	2034
510	397
0	29476
1961	970
329	0
1260	790
1	0
149	556
990	24482
0	0
0	0
5	1569
0	0
0	2
4	0
3	56
0	809
0	21
0	5783
593	377
0	0
137	1883
0	0
10	435
9	152
0	20023
0	38
0	0
7	204
463	471
5643	0
1	0
14	143
139	150
0	1
0	0
0	0
23	1306
45	234
1	201
97	730
3537	826
0	1941
8	2174
26	530
53	1869
372	1238
115	1794
3	610
2	872
0	0
0	49
0	550
1672	1700
1	603
42	761
128	343
77	1368
1	295
14	384
0	1485
0	6681
0	693
0	1
1284	287
0	887
0	0
715	103849
1	1
0	0
0	93
0	2
5	1830
1	0
0	0
0	1003
18	1232
0	0
0	0
84	425
0	20
0	2
23	717
0	858
0	1863
0	0
0	401
0	491
0	1059
19	172
0	178
0	825
1	15
70	8361
0	1
11	942
1	3932
0	6
0	2420
0	0
0	0
729	1498
117	1730
0	0
0	74
0	0
154	239
1	198
75	243
0	3
0	0
0	0
792	44
0	0
0	0
0	0
14	190
0	1361
0	0
65	14440
0	0
1	15
258	1
141	652
11	2084
1	0
0	0
0	2
0	220
0	1853
0	0
9	695
0	0
38	287
0	0
1	942
