UniqueCount	AmbigCount
2	202
278	3256
2	546
3039	1184
2	76
0	0
4301	1520
45	4
0	5879
121	5208
0	180
0	1471
18	909
0	70
8	112
1893	700
0	0
0	1155
0	409
0	0
0	0
0	0
25	644
7	564
710	792
43	2424
4	873
0	0
7	3
0	0
0	5
0	265
0	1
0	0
55	1415
0	84
0	835
0	0
0	0
18	1312
117	73
0	34
0	10
0	2
0	71
631	314
3	989
0	402
0	2186
0	0
6	1371
2	1319
0	1940
3	294
233	901
0	1477
1	80
0	5
0	0
0	7
669	1450
0	192
20	4585
5	16441
0	0
0	0
0	78
0	3
0	0
0	41
13	14489
1	46
0	655
194	1279
1	5604
0	301
0	59
0	0
0	0
0	0
169	3781
4	3398
413	571
81	1669
0	0
0	0
30	577
63	1181
0	0
593	1101
0	0
3	5904
0	1396
0	0
83	42
50	758
0	2984
0	0
0	0
1670	2519
8	5407
4	213
0	653
1194	762
1690	9
1196	0
0	0
12	617
48	0
0	0
1	2
0	0
0	0
2	855
0	584
86	180
1	3455
0	426
5	297
104	2126
0	1431
0	413
0	2
0	0
12	374
3	3289
0	652
4	79
178	1192
55	1289
0	0
3	2798
57	26
0	33
37	1099
13	643
1	5
10085	3728
0	144
0	1529
0	127
0	121
0	0
0	1
0	253
22	2558
0	1
0	774
0	367
30	480
0	16
38	132
0	0
0	1025
0	0
0	321
8	656
666	487
0	3
117	458
484	420
37	249
0	304
2	217
0	0
0	2163
4	214
3009	1035
0	0
0	0
0	6
0	0
0	76
0	117
0	225
710	1183
3	8
0	0
9	511
1	2
0	0
0	66
3	119
0	1266
0	0
5	3481
113	751
0	0
1	2
23	465
0	0
0	82
7	2
3	312
37	302
1434	475
0	2
0	6
0	2
0	0
2	498
0	21
0	1
6	475
0	575
0	534
0	0
0	451
0	17
0	1297
0	8
325	5641
1	0
24	399
58	3460
1821	8099
0	0
0	0
0	4948
0	3000
27	63
0	2
223	24
9	75
0	11
22	1541
0	2757
157	1087
0	43
663	171
36	913
0	0
0	1137
0	1
0	0
0	3
1849	3528
0	1
302	172
0	0
483	952
141	240
7	446
0	1294
65	1434
0	0
0	0
0	10742
641	1360
0	0
43	4229
10	333
2	56
0	0
0	1
0	697
0	0
0	0
290	174
0	487
2	6
1	679
0	1012
0	1174
0	1596
0	0
0	554
3	308
59	2574
915	333
104	372
813	552
0	0
309	1464
0	738
0	241
252	118
2133	368
75	326
104	1181
0	0
206	985
300	1692
0	0
0	91
0	1
39	583
0	355
55	175
0	0
0	0
0	0
0	1011
12	733
32	3991
127	458
0	977
17	2231
387	17
0	504
0	0
0	0
44	370
0	15
9	1661
130	240
540	757
1	3246
0	1
35	5036
211	479
523	660
2	91
0	49
0	1
449	0
0	0
502	3155
2	0
1	1
29	413
0	0
0	0
0	0
41	1568
0	156
8	196
5	0
329	175
0	626
3388	4957
0	42
795	26
0	512
4	1397
0	875
0	0
0	102
1	384
0	4390
0	0
127	5772
1952	535
0	446
6	1218
11	457
0	10
0	490
0	1
1281	1304
301	0
0	0
3944	1864
418	655
28	179
1	676
899	0
87	135
352	1433
193	1986
946	2989
216	8
0	13
0	1
0	0
625	565
16	480
0	4398
19	34
96	1
0	0
8	1587
79	991
200	533
44	5575
46	509
0	152
0	0
21	0
0	1
0	0
61	0
101	2485
0	198
0	493
0	191
0	31
13	746
36	4248
431	772
0	18
0	0
0	38
0	0
94	1251
12	188
1252	1169
4	126
0	0
1	838
0	5
279	910
0	0
16	3
0	33
6	234
0	0
169	757
35	482
4930	5391
3	101
0	2163
0	1175
138	928
6	3275
0	5
1	0
0	12
7	1784
0	0
2	54
0	0
0	0
14	45
0	0
10	54
0	34
190	598
415	1985
0	0
0	0
175	26
108	628
0	1296
425	118
0	2472
0	6
0	0
1	67
0	1913
0	4191
281	1436
1	407
0	11
2	2
3	896
640	1220
0	0
83	649
13	2489
0	2
86	534
0	6
3036	1049
1444	1229
1919	1353
0	61
723	2194
3	180
0	135
0	0
6	112
0	0
1373	0
0	74
0	0
1732	1174
0	9
0	0
0	1202
0	2158
9	338
0	143
7	7
0	2089
0	8252
0	503
1	1431
0	0
5	12
46	1884
0	1
0	0
0	0
0	0
231	27
0	2
79	304
414	5638
16	3245
7	284
0	0
0	98
0	30
4	326
