UniqueCount	AmbigCount
4	230
234	3393
0	849
3089	1176
8	133
0	0
3725	1418
41	5
0	5522
106	4315
0	150
0	1145
13	923
0	71
5	122
1537	438
0	0
0	1249
1	423
0	0
0	0
0	0
41	1217
10	612
669	721
35	2296
7	1096
0	0
2	1
0	0
0	8
0	247
0	4
0	0
58	1319
0	61
1	848
0	0
0	0
17	1775
133	108
0	30
0	4
0	2
0	61
531	261
0	1164
0	384
0	2533
0	0
2	1092
1	1188
0	2366
4	190
165	812
0	700
3	107
1	5
0	0
0	5
727	1498
0	180
24	4251
6	13675
0	0
0	0
1	53
0	2
0	0
0	19
9	13001
0	30
0	519
170	1061
0	7035
0	286
0	38
0	0
0	0
0	0
163	3912
10	4538
481	609
84	1792
0	0
0	0
14	406
46	945
0	0
598	989
0	0
4	4779
1	1266
0	1
89	39
37	586
5	3157
0	0
0	0
1177	1815
1	4603
2	165
0	452
1197	648
2812	8
1161	0
0	1
6	650
27	0
0	0
0	6
0	0
0	0
2	921
0	554
54	128
3	2931
0	395
12	274
89	1822
0	1484
0	357
0	1
0	0
6	327
9	3469
0	989
1	33
192	1391
63	1183
0	0
2	2826
83	30
0	34
59	1169
16	583
0	9
5384	1329
0	130
0	1330
0	94
0	146
0	0
0	0
0	156
19	2813
0	0
0	556
0	426
14	463
0	4
46	187
0	0
0	996
0	1
0	296
7	760
762	492
0	1
146	578
576	450
33	183
0	387
12	258
0	0
0	1891
2	275
3103	984
0	0
0	1
0	1
0	0
0	56
0	98
0	191
629	898
4	6
0	0
12	580
0	0
0	0
0	99
1	48
0	1365
0	0
2	3086
121	981
0	0
0	4
23	476
0	0
1	57
16	0
0	202
29	169
1074	430
0	0
0	7
0	4
0	0
3	552
0	21
0	2
10	313
0	399
0	760
0	0
0	448
0	14
0	987
0	5
311	4950
1	2
34	417
53	2933
1583	8648
0	0
0	0
0	4979
0	3075
34	58
0	1
172	22
10	100
0	5
19	1426
0	2573
178	1386
0	41
608	141
42	898
0	0
0	910
0	0
0	0
0	0
2313	3744
0	0
204	115
0	0
488	815
108	205
5	388
0	956
64	1062
0	0
0	0
0	7702
799	1753
0	0
51	4569
18	295
1	74
0	0
0	0
0	560
0	0
0	0
291	161
0	524
0	0
0	923
3	586
0	1301
0	1197
0	0
0	434
3	188
40	2830
835	280
179	532
648	474
0	0
319	1461
2	734
0	182
286	115
2324	342
69	369
130	1092
0	0
184	869
254	1495
0	2
0	44
0	5
20	386
0	228
112	134
0	0
0	0
0	0
1	1070
7	749
19	3792
146	420
2	863
14	1759
377	23
0	411
0	0
0	0
36	321
0	3
10	1673
154	250
457	589
2	3426
0	0
22	4192
306	671
703	798
1	112
0	1
0	0
459	0
0	0
299	2450
1	0
0	2
17	217
0	0
0	0
0	0
14	483
0	156
3	182
1	0
336	174
0	726
3126	4675
0	10
1210	49
0	258
0	1144
1	707
0	0
0	114
2	425
1	3222
0	0
95	5634
1700	409
0	507
6	969
3	323
0	1
0	500
0	0
1389	1609
186	1
0	0
2067	1073
410	569
21	163
0	530
1113	0
60	131
311	1331
310	2358
928	2560
242	17
0	12
3	0
0	0
415	359
28	485
0	3555
37	50
77	1
0	0
23	1159
64	787
143	414
34	5509
79	776
0	183
1	0
19	2
0	1
0	0
43	0
95	2177
0	179
0	485
0	219
0	40
10	835
26	3985
477	689
0	17
0	0
0	10
0	0
142	1466
5	117
1478	1084
2	100
1	1
0	829
1	4
246	736
0	0
4	0
0	33
5	190
0	0
132	713
12	403
4101	5256
2	78
0	1834
0	1092
121	928
3	2588
0	6
1	0
0	8
10	2048
0	0
0	46
0	0
0	0
13	49
0	0
7	23
0	33
209	543
410	1808
0	0
0	0
178	16
86	670
0	964
311	99
0	2211
0	5
0	0
0	40
0	1670
0	4291
281	1117
1	400
0	4
5	4
3	1070
484	970
0	0
108	861
10	2317
0	0
93	417
1	3
3605	1205
888	765
1694	1314
0	74
972	2564
5	238
0	88
0	0
4	129
0	0
618	0
0	56
0	0
1991	1310
0	13
0	0
0	1171
0	2384
5	360
0	160
5	7
0	2108
0	6398
1	628
1	973
0	0
19	33
40	1487
0	1
0	0
0	0
0	0
117	28
0	10
109	369
350	4510
17	3060
1	361
0	0
0	65
0	51
2	329
0	2923
8	560
0	7462
0	0
1	1803
1585	503
0	0
80	33666
0	596
85	1153
1248	1741
2	2365
0	0
0	0
2	25
0	0
328	882
0	0
0	0
283	654
0	0
0	0
0	18
118	222
71	1246
0	0
0	0
0	0
0	4
0	0
0	7059
1	2464
462	234
0	22463
1604	811
340	0
1441	869
0	0
126	497
1108	27401
0	1
0	0
2	561
0	0
0	1
2	0
1	52
0	1003
0	26
0	8040
865	550
0	1
105	1725
0	0
9	429
17	196
0	19057
0	37
0	0
16	242
608	633
4471	0
0	0
7	121
120	100
0	2
0	1
0	0
25	1550
35	155
2	146
109	595
3741	838
0	2572
3	2320
14	447
49	1881
330	1115
122	2213
3	436
0	821
0	0
0	45
0	992
1963	2043
2	673
35	1062
95	298
61	1440
0	214
18	436
0	1346
0	7207
0	858
0	0
1493	289
0	847
0	0
683	96737
1	6
0	0
0	103
0	0
2	1691
1	0
0	0
0	671
10	665
0	1
0	0
86	333
0	23
0	0
25	471
0	901
0	1583
0	0
6	568
6	489
0	1243
42	142
0	105
0	535
0	21
49	7105
0	0
7	806
0	4037
0	0
0	3143
0	0
0	0
859	1701
100	1561
0	0
0	125
0	0
167	205
1	166
40	154
1	2
0	0
0	0
883	45
0	0
0	0
0	0
12	155
0	1549
0	0
32	12058
0	0
1	19
229	1
121	661
6	2476
0	0
0	0
0	2
0	308
5	2004
0	0
10	610
0	0
42	238
0	0
0	824
0	0
0	0
2	9
0	0
0	111
1158	0
4	28
515	1646
0	0
0	0
1260	2542
2	0
1	273
0	514
545	424
0	0
116	123
0	59
1	1357
0	0
0	1
839	772
1	2474
0	0
0	0
1	142
0	249
0	0
67	29
0	0
0	0
0	9
0	0
0	0
16	1986
0	7
256	1840
88	806
0	0
85	201
2	0
2	2501
19	88
45	12913
1	1
9	3
1	384
0	0
844	455
42	701
0	0
11	136
24	997
6634	1947
5	6
283	65
31	470
0	0
0	0
0	0
220	266
307	990
0	588
549	2073
46	544
317	957
73	124
0	367
2	196
56	171
0	34
1177	103
6	74
115	75
0	0
0	1019
17	3089
6	57
301	645
13	3819
6	268
495	74
0	4283
0	686
0	25
0	2
106	0
34	16
0	0
0	0
799	2703
1596	962
154	2445
5	341
7498	1602
12	556
0	2156
18	1684
1	114225
0	2358
1	839
168	569
0	24
0	337
0	0
0	13
0	0
5	980
232	275
0	0
0	951
5	408
0	1480
423	316
0	1516
0	0
0	0
837	1080
0	864
5	210
0	73
0	1858
1	529
86	1850
0	0
111	681
1032	1586
0	240
0	11
0	997
101	83
111	7576
5	3
1	4
0	0
0	358
0	0
448	3171
9	107
0	0
0	0
47	2160
0	0
0	13
0	0
0	20
0	0
212	3899
22	2621
2	0
0	2
0	0
0	0
153	436
2	763
0	2212
0	26
5	3309
0	7
2	2
1734	1723
14412	954
0	0
0	0
0	97
19	1544
3595	0
0	0
0	43
6198	7945
0	315
0	2382
594	4525
34	263
0	0
2351	808
35	150
0	0
6	3
123	6803
0	337
4	2757
1	5
0	388
4	274
20	612
0	0
222	279
0	1
0	525
435	1032
12	0
0	2174
0	563
17	3722
131	4800
21	608
0	2646
0	770
10	2
0	0
16	543
5	1490
27	1456
15	81
2	25
0	0
0	0
0	0
0	4131
0	0
39	5344
453	4936
0	1
25	31
7	403
23	248
4	1015
0	686
42	4828
0	0
40	428
1	1538
0	0
0	0
204	2040
236	157
34	711
0	864
1598	1
0	0
1	0
0	1
0	0
853	316
26	438
0	0
0	353
0	0
0	1
151	126
0	0
0	1596
1	332
0	3
382	291
0	0
0	2664
5	564
0	0
87	17266
60	111
16	1380
0	660
0	5
0	2
390	1354
8503	8864
0	212
7	5
5	66
0	1
59	2217
0	1203
58	158
0	1776
0	2306
0	892
7	3325
84	13307
59	365
18	848
36	897
82	0
306	396
0	0
1	207
489	625
0	328
331	2664
3572	5318
0	0
1	51
0	5
890	883
0	0
279	3973
1	41
91	7463
0	1
0	0
87	357
53	5699
323	1652
0	376
0	0
0	104
77	23366
0	16
50	460
3	695
0	4
0	1064
0	7
0	0
0	0
2	232
13	1790
22	2592
0	21
384	587
0	7
5	1811
0	269
0	2
43	890
0	0
704	3766
10	506
20	204
0	6
16	44359
0	0
3573	4423
0	0
143	4615
0	0
0	4353
0	0
0	0
1	0
0	1737
0	1063
69	272
0	0
875	284
8	112
0	0
0	0
0	0
0	906
68	565
20	4781
2848	2696
0	0
17	167
0	260
0	0
0	0
1	195
23	1771
0	0
0	155
17	724
0	1537
0	1
0	2
0	1
0	0
39	321
1	628
1195	0
0	60
0	1277
95	2931
0	0
0	387
9	12
0	706
1034	218
5	788
353	2844
1857	0
4	1081
1072	862
4062	1765
1	36
2895	42881
37	522
0	15
2	106
5	34
1	158
965	4410
0	737
0	0
7	234
1	2
0	0
464	768
0	986
1	0
448	1653
0	3291
0	357
2341	189
275	350
0	0
1	999
0	1
416	1152
96	488
1	6
0	1
2532	0
0	0
0	5
0	432
0	1969
4	0
0	0
0	0
0	0
5	4
26	1443
47	609
5	2963
1248	688
1237	26706
0	0
26	2284
0	3
0	31
0	0
4	0
0	0
191	344
0	0
0	0
10	3351
0	57
1	0
2	55
0	0
21	75
0	13
0	0
0	1033
0	119
2	141
8	6065
8	2691
0	0
284	6247
2	458
0	0
0	0
2	17
72	522
0	0
76	63
122	345
0	0
0	0
51	9448
0	254
0	0
0	483
0	252
10	61
0	0
219	174
35	975
0	0
1730	1638
0	6
0	481
0	0
156	102
0	0
0	0
10	1613
8	0
249	633
8	652
0	0
2	7
25	347
3	21
2	500
1	1
6	2540
189	548
746	182
0	0
0	0
122	33
0	0
0	0
0	0
511	301
313	1762
0	0
0	0
11	1182
0	50
445	1168
0	0
7	4504
0	0
0	545
185	677
32	143
0	0
230	78
0	0
0	16
31	572
0	966
8	1761
0	0
0	712
0	0
0	0
1034	148
0	35
694	10343
40	5018
985	586
1	2800
3	1941
0	1777
71	126
2	1048
23	709
243	1306
0	0
0	0
0	0
22	128
26207	6222
0	367
1463	864
0	0
3406	3171
94	260
0	0
0	1
25	36
1016	14435
48	4493
0	546
0	219
0	256
228	790
0	0
0	0
131	862
0	0
1	208
45	3130
0	26
0	243
750	848
2	459
0	20
7	152
0	0
52	3748
1	1275
0	4791
138	1756
1	81
0	0
0	0
56	711
0	0
0	2716
0	1882
4469	641
0	0
781	0
17	1824
11	875
0	0
0	0
2	13633
0	0
0	0
2	83
0	12907
5	1083
7	0
0	9
142	18
514	433
1	66
0	236
456	1302
11	2820
0	724
0	2
0	0
0	0
2	136
11	632
39	495
32	202
0	0
0	2189
157	6333
0	3
0	2001
0	8
0	1
7	534
7	104
26	349
12	382
0	2
1	0
718	490
0	0
0	2595
24	1426
131	9081
0	265
0	0
0	0
4	272
0	2
1	1252
176	57
0	0
40145	7
212	0
0	0
809	566
0	0
0	73
2651	3842
1548	514
2	0
1	0
0	188
14	1089
8	2
0	1282
59	177
0	0
9	1292
38	54
2	56
10	19
0	0
0	0
11	285
40	5673
0	0
267	703
0	0
0	0
131	425
2	717
1039	70631
0	0
300	1849
0	831
0	611
2	69
0	0
0	0
91	214
17	984
0	922
0	52
0	13
896	36
0	0
10669	3818
0	0
13	308
0	0
0	395
0	0
0	0
0	0
0	1121
268	157
0	88
10	2969
0	0
15	1280
1	519
1	0
35	400
3606	671
0	0
9	0
21	28
1	0
0	0
0	2
156	1034
2	585
22	819
713	4989
0	526
0	1
177	174
0	0
0	2
39	830
255	164
0	0
0	0
2516	2456
0	872
24	678
2974	1325
0	2
49	92
0	39
120	179
545	12078
0	0
60	1275
0	36
0	508
215	6328
1958	1112
0	2078
0	250
0	0
0	3
0	0
500	538
2	4707
0	0
607	85
0	352
0	785
15	1300
0	0
2	66
30	1210
0	0
6	769
6631	2701
0	0
7	1662
0	492
0	0
0	0
0	2
0	40
201	2299
18	71
11	276
299	2
191	70
1	0
649	0
0	64
20	115
0	554
0	5
0	0
60	881
217	125
208	2390
0	2087
1	3480
3	59
9	2651
2	106
0	1
25	78
0	0
239	1324
0	102
1872	295
1	120
0	846
0	1
132	164
16	1347
0	1
0	678
0	1
453	2337
178	398
0	216
0	0
185	654
0	2414
1	263
126	8479
1761	4824
0	571
0	6
478	2177
0	0
0	1621
401	11755
0	0
5	627
0	19042
0	0
987	105
0	1001
0	0
0	386
0	0
101	907
0	2
67	34
13	252
0	770
51	44
0	0
26	1
0	7
1	31
21	338
7	155
298	640
0	120
484	2752
0	114417
0	6
0	1276
761	526
6	50
1062	5946
31	910
317	332
0	0
0	0
0	132
0	1119
0	0
7	4881
1776	718
1040	5958
0	364
108	84
2	353
180	73
0	254
0	102
0	0
0	0
2	167
3554	6438
5	26
2853	1116
3	580
1	16
0	0
0	0
219	245
1	2473
0	1327
189	291
0	2
320	1000
5219	6143
0	761
0	765
537	93
1	571
0	517
0	0
5	201
0	0
0	4
332	196
0	1
0	0
0	0
0	0
0	0
1106	1
2	261
274	152
0	3552
1	0
2	1
0	143
6	681
0	51
15	699
1	322
542	12603
0	0
1	0
0	386
0	43
0	6713
0	0
0	1251
27	460
0	513
0	211
0	0
0	453
184	225
0	5
0	1152
0	7981
0	0
2	11
448	2286
2204	0
4	1243
0	0
98	7721
87	44
0	0
0	0
0	0
578	226
0	0
382	1062
569	42
624	1010
6	595
12	348
67	665
0	301
0	3622
324	266
0	798
0	0
181	119
0	2
1784	4903
0	0
14	9
0	4
53	101
2102	1
0	463
456	94
0	1
0	25
0	0
161	239
0	84
42	2969
0	57379
870	1377
0	1583
13	127
0	0
0	53
2	367
0	1118
0	322
0	0
96	22
0	54
0	0
0	133
1	564
50	863
1	84
1	1
0	0
0	2909
128	2078
451	517
0	0
0	2
9	0
0	1054
0	0
0	0
1	896
105	1411
19	84
0	433
0	0
1	19
0	0
0	3
0	0
0	0
15	2000
9	267
0	113
33	943
8	7196
0	0
251	2907
2	300
12	2027
1	0
1272	0
0	147
0	0
0	476
476	1404
0	494
0	0
2	12
124	221
0	19
9	375
8	1690
0	95
0	0
365	496
0	0
0	0
0	1400
0	0
0	431
1	347
0	410
0	1
704	2865
239	515
0	0
34	95
3	692
0	0
146	90
0	0
0	2626
0	0
79	1716
0	62
0	0
0	0
11	5893
4	1555
2206	4438
0	0
7	24
1	260
1	169
0	0
0	158
0	0
0	0
0	21
0	15
0	6
90	993
40	271
1	2542
0	54
1418	847
10	87
1	377
100	4134
7	1232
0	0
0	0
0	1173
3	0
0	1
613	168
0	452
0	260
0	11
0	0
0	0
0	361
554	1739
0	1501
1	0
1621	849
0	0
105	446
6	1294
338	536
212	2907
0	0
211	762
7	72
6	0
0	0
0	30
151	1307
0	0
0	0
20	1274
1086	833
0	0
0	0
14	228
0	0
7	119
350	1325
2	125
2	1760
138	1586
0	253
0	0
0	350
2	2087
1629	0
0	0
5	50
0	146
6	1675
